Database,,,,,,,,,,,,,,,,
Name,Version,Author,Description,Emphasis1,Emphasis2,Emphasis3,Emphasis4,,,,,,,,,
13,Create Local Repository/5,[],確認電腦中是否有 Git 系統（隨機）,,,unassigned,FALSE,,,,StageID03,,,,,
14,Create Local Repository/6,[],按照背景新建 Git 本地儲存庫（隨機）,,,unassigned,FALSE,,,,StageID03,,,,,
15,Create Local Repository/7,[],確認電腦中是否有 Git 系統（隨機）,,,unassigned,FALSE,,,,StageID03,,,,,
16,Create Local Repository/8,[],按照背景新建 Git 本地儲存庫（隨機）,,,unassigned,FALSE,,,,StageID03,,,,,
17,Version Control and Git/1,[],進行問答遊戲,,,unassigned,FALSE,FALSE,FALSE,0,StageID02,,,,,
18,Basic Staging Area/1,[],"開啟 ""命令行"" 視窗",,,unassigned,FALSE,FALSE,FALSE,0,StageID04,,,,,
19,Basic Staging Area/2,[],"確認 ""暫存區域"" 的內容",,,unassigned,FALSE,FALSE,FALSE,0,StageID04,,,,,
20,Basic Staging Area/3,[],"將 ""實驗記錄.txt"" 移入暫存區域中",,,unassigned,FALSE,FALSE,FALSE,0,StageID04,,,,,
21,Basic Staging Area/4,[],"確認檔案已移入 ""已追蹤"" 區域",,,unassigned,FALSE,FALSE,FALSE,0,StageID04,,,,,
22,Basic Staging Area/5,[],移出檔案並確認暫存區域,,,unassigned,FALSE,FALSE,FALSE,0,StageID04,,,,,
23,Basic Staging Area/6,[],根據模擬背景完成需求（隨機）,,,unassigned,FALSE,FALSE,FALSE,0,StageID04,,,,,
24,Basic Staging Area/7,[],根據模擬背景完成需求（隨機）,,,unassigned,FALSE,FALSE,FALSE,0,StageID04,,,,,
25,Basic Staging Area/8,[],根據模擬背景完成需求（隨機）,,,unassigned,FALSE,FALSE,FALSE,0,StageID04,,,,,
26,Advanced Staging Area/1,[],"開啟 ""檔案管理"" 視窗",,,unassigned,FALSE,FALSE,FALSE,0,StageID05,,,,,
27,Advanced Staging Area/2,[],"開啟 ""暫存區域"" 視窗",,,unassigned,FALSE,FALSE,FALSE,0,StageID05,,,,,
28,Advanced Staging Area/3,[],"確認 ""資料夾B"" 中的檔案全部位於 ""已追蹤"" 區域",,,unassigned,FALSE,FALSE,FALSE,0,StageID05,,,,,
29,Advanced Staging Area/4,[],"確認 ""資料夾B"" 中的檔案全部位於 ""未追蹤"" 區域",,,unassigned,FALSE,FALSE,FALSE,0,StageID05,,,,,
30,Advanced Staging Area/5,[],"確認專案中所有檔案位於 ""已追蹤"" 區域",,,unassigned,FALSE,FALSE,FALSE,0,StageID05,,,,,
31,Advanced Staging Area/6,[],"確認專案中所有檔案位於 ""未追蹤"" 區域",,,unassigned,FALSE,FALSE,FALSE,0,StageID05,,,,,
32,Advanced Staging Area/7,[],根據模擬背景完成需求（隨機）,,,unassigned,FALSE,FALSE,FALSE,0,StageID05,,,,,
33,Advanced Staging Area/8,[],根據模擬背景完成需求（隨機）,,,unassigned,FALSE,FALSE,FALSE,0,StageID05,,,,,
34,Advanced Staging Area/9,[],根據模擬背景完成需求（隨機）,,,unassigned,FALSE,FALSE,FALSE,0,StageID05,,,,,
35,Advanced Staging Area/10,[],根據模擬背景完成需求（隨機）,,,unassigned,FALSE,FALSE,FALSE,0,StageID05,,,,,
36,Creating First Version/1,[],"開啟 ""檔案管理"" 視窗",,,unassigned,FALSE,FALSE,FALSE,0,StageID06,,,,,
37,Creating First Version/2,[],"確認 ""期中報告"" 已經推入暫存區域",,,unassigned,FALSE,FALSE,FALSE,0,StageID06,,,,,
38,Creating First Version/3,[],提交簡報的第一個版本,,,unassigned,FALSE,FALSE,FALSE,0,StageID06,,,,,
39,Creating First Version/4,[],確認暫存區域的狀態,,,unassigned,FALSE,FALSE,FALSE,0,StageID06,,,,,
40,Creating First Version/5,[],"開啟 ""提交記錄"" 視窗",,,unassigned,FALSE,FALSE,FALSE,0,StageID06,,,,,
41,Creating First Version/6,[],修正簡報中的錯誤,,,unassigned,FALSE,FALSE,FALSE,0,StageID06,,,,,
42,Creating First Version/7,[],確認暫存區域的狀態,,,unassigned,FALSE,FALSE,FALSE,0,StageID06,,,,,
43,Creating First Version/8,[],確認修改後的簡報已經在暫存區域中,,,unassigned,FALSE,FALSE,FALSE,0,StageID06,,,,,
44,Creating First Version/9,[],提交簡報的第二個版本,,,unassigned,FALSE,FALSE,FALSE,0,StageID06,,,,,
45,Creating First Version/10,[],確認暫存區域的狀態,,,unassigned,FALSE,FALSE,FALSE,0,StageID06,,,,,
46,Creating First Version/11,[],"確認 ""提交記錄"" 視窗",,,unassigned,FALSE,FALSE,FALSE,0,StageID06,,,,,
47,Creating First Version/12,[],新增簡報內容,,,unassigned,FALSE,FALSE,FALSE,0,StageID06,,,,,
48,Creating First Version/13,[],確認修改後的簡報已經在暫存區域中,,,unassigned,FALSE,FALSE,FALSE,0,StageID06,,,,,
49,Creating First Version/14,[],提交簡報的第三個版本,,,unassigned,FALSE,FALSE,FALSE,0,StageID06,,,,,
50,Creating First Version/15,[],確認暫存區域的狀態,,,unassigned,FALSE,FALSE,FALSE,0,StageID06,,,,,
51,Creating First Version/16,[],"確認 ""提交記錄"" 視窗",,,unassigned,FALSE,FALSE,FALSE,0,StageID06,,,,,
52,Switching Project Versions/1,[],"開啟 ""提交記錄"" 視窗",,,unassigned,FALSE,FALSE,FALSE,0,StageID07,,,,,
53,Switching Project Versions/2,[],"開啟 ""檔案管理"" 視窗",,,unassigned,FALSE,FALSE,FALSE,0,StageID07,,,,,
54,Switching Project Versions/3,[],"確認 ""網頁樣式.css"" 內容",,,unassigned,FALSE,FALSE,FALSE,0,StageID07,,,,,
55,Switching Project Versions/4,[],將當前專案切換到第 2 個提交版本,,,unassigned,FALSE,FALSE,FALSE,0,StageID07,,,,,
56,Switching Project Versions/5,[],"確認 ""提交記錄"" 視窗的狀態",,,unassigned,FALSE,FALSE,FALSE,0,StageID07,,,,,
57,Switching Project Versions/6,[],"確認 ""網頁樣式.css"" 內容",,,unassigned,FALSE,FALSE,FALSE,0,StageID07,,,,,
58,Switching Project Versions/7,[],將當前專案切換到第 3 個提交版本,,,unassigned,FALSE,FALSE,FALSE,0,StageID07,,,,,
59,Switching Project Versions/8,[],"確認 ""提交記錄"" 視窗的狀態",,,unassigned,FALSE,FALSE,FALSE,0,StageID07,,,,,
60,Switching Project Versions/9,[],"確認 ""網頁樣式.css"" 內容",,,unassigned,FALSE,FALSE,FALSE,0,StageID07,,,,,
61,Switching Project Versions/10,[],"將當前專案切換到 ""master"" 分支上",,,unassigned,FALSE,FALSE,FALSE,0,StageID07,,,,,
62,Switching Project Versions/11,[],"確認 ""提交記錄"" 視窗的狀態",,,unassigned,FALSE,FALSE,FALSE,0,StageID07,,,,,
63,Git Branching Basics/1,[],"開啟 ""提交記錄"" 視窗",,,unassigned,FALSE,FALSE,FALSE,0,StageID08,,,,,
64,Git Branching Basics/2,[],創建一個新的分支,,,unassigned,FALSE,FALSE,FALSE,0,StageID08,,,,,
65,Git Branching Basics/3,[],"確認 ""提交記錄"" 視窗的狀態",,,unassigned,FALSE,FALSE,FALSE,0,StageID08,,,,,
66,Git Branching Basics/4,[],查看本地儲存庫中的所有分支,,,unassigned,FALSE,FALSE,FALSE,0,StageID08,,,,,
67,Git Branching Basics/5,[],切換到新創建的分支,,,unassigned,FALSE,FALSE,FALSE,0,StageID08,,,,,
68,Git Branching Basics/6,[],"確認 ""提交記錄"" 視窗的狀態",,,unassigned,FALSE,FALSE,FALSE,0,StageID08,,,,,
69,Git Branching Basics/7,[],在新的分支上開發新功能,,,unassigned,FALSE,FALSE,FALSE,0,StageID08,,,,,
70,Git Branching Basics/8,[],"創建新的提交，並更新 ""提交記錄"" 狀態",,,unassigned,FALSE,FALSE,FALSE,0,StageID08,,,,,
71,Git Branching Basics/9,[],"確認已切換到 ""master"" 分支上",,,unassigned,FALSE,FALSE,FALSE,0,StageID08,,,,,
72,Git Branching Basics/10,[],將創建的分支刪除,,,unassigned,FALSE,FALSE,FALSE,0,StageID08,,,,,
73,Git Branching Basics/11,[],"確認 ""提交記錄"" 視窗的狀態",,,unassigned,FALSE,FALSE,FALSE,0,StageID08,,,,,
74,Fast-Forward Merging/1,[],"開啟 ""提交記錄"" 視窗",,,unassigned,FALSE,FALSE,FALSE,0,StageID09,,,,,
75,Fast-Forward Merging/2,[],"在 ""new-feature"" 分支上開發新功能",,,unassigned,FALSE,FALSE,FALSE,0,StageID09,,,,,
76,Fast-Forward Merging/3,[],"創建新的提交，並更新 ""提交記錄"" 狀態",,,unassigned,FALSE,FALSE,FALSE,0,StageID09,,,,,
77,Fast-Forward Merging/4,[],"確認已切換到 ""master"" 分支上",,,unassigned,FALSE,FALSE,FALSE,0,StageID09,,,,,
78,Fast-Forward Merging/5,[],"合併  ""new-feature"" 分支，並更新 ""提交記錄"" 狀態",,,unassigned,FALSE,FALSE,FALSE,0,StageID09,,,,,
79,Fast-Forward Merging/6,[],"刪除 ""new-feature"" 分支，並更新 ""提交記錄"" 狀態",,,unassigned,FALSE,FALSE,FALSE,0,StageID09,,,,,
Locations,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,
Number,,,,,,,,,,,,,,,,
Variables,,,,,,,,,,,,,,,,
ID,Name,Initial Value,Description,InitialValueType,,,,,,,,,,,,
Number,Text,Text,Text,Text,,,,,,,,,,,,
1,Alert,,,Text,,,,,,,,,,,,
2,SelectionType,none,Record player decision,Text,,,,,,,,,,,,
3,ImageKey,,Show image according to the key.,Text,,,,,,,,,,,,
6,UnlockButtonName,none,Function which triggers Toolbar,Text,,,,,,,,,,,,
7,playerDecision,none,Three button to add content (get),Text,,,,,,,,,,,,
8,isReplay,FALSE,If use replay function it will be true,Boolean,,,,,,,,,,,,
9,tag,,use to identify different path,Text,,,,,,,,,,,,
10,canReplay,FALSE,Can click Replay Current Scenario,Boolean,,,,,,,,,,,,
11,UnlockKey,(category ) / (list name) / (unlockProgress),Unlock GameManualWindow List,Text,,,,,,,,,,,,
12,TestingDialog,TRUE,For dialog system,Boolean,,,,,,,,,,,,
13,ReadChapter,0,Save Read Chapter,Number,,,,,,,,,,,,
14,Counter,0,,Number,,,,,,,,,,,,
15,Switch,,Control highlight panel spot,Text,,,,,,,,,,,,
Conversations,,,,,,,,,,,,,,,,
ID,Title,Description,Actor,Conversant,Overrides,,,,,,,,,,,
Number,Text,Text,Actor,Actor,JSON,,,,,,,,,,,
12,Game Introduction/Start game,,2,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
13,Game Introduction/Quest 2,,2,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
14,Game Introduction/Quest 3,,2,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
15,Game Introduction/Quest 4,,2,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
16,Game Introduction/Quest 5,,2,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
18,Common/Help Selection,,1,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
19,Game Introduction/End,,2,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
22,Game Introduction/Hint,,2,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
23,Game Introduction/Answer,,2,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
24,Create Local Repository/Start game,,2,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
25,Create Local Repository/Quest 2,,2,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
29,Create Local Repository/Quest 3,,2,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
30,Create Local Repository/Quest 4,,2,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
31,Create Local Repository/Quest 5,,2,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
34,Game Introduction/Summary,,2,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
35,Version Control and Git/Start game,,2,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
36,Version Control and Git/Help Selection,,1,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
37,Version Control and Git/Quiz,,1,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
38,Version Control and Git/End,,2,2,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,
